DATE,EVENT_URL,ORGANIZER,PLAYER_COUNT
2026/10/02,https://melee.gg/Tournament/View/412141,Magic Warrior Vittorio di Pastre Mattia,5
2026/10/02,https://melee.gg/Tournament/View/412079,LA COMPAGNIE DES JEUX,16
2026/10/01,https://melee.gg/Tournament/View/401729,La Mazmorra TCG,14
2026/09/30,https://melee.gg/Tournament/View/412071,The Big Bang Games,12
2026/09/10,https://melee.gg/Tournament/View/442779,Libreria Rinascita,5
2026/09/08,https://melee.gg/Tournament/View/442988,Ginásio Pokemãe,5
2026/09/07,https://melee.gg/Tournament/View/442888,TheBox,4
2026/09/07,https://melee.gg/Tournament/View/443271,Batbanca,6
2026/09/07,https://melee.gg/Tournament/View/441036,Drakkar Ludik',22
2026/09/07,https://melee.gg/Tournament/View/443154,AZ Card & Games,9
2026/09/06,https://melee.gg/Tournament/View/435312,Tizian Pusar (Trading Cards United),4
2026/09/06,https://melee.gg/Tournament/View/420057,Freakmondo,5
2026/09/05,https://melee.gg/Tournament/View/427886,Paladins Games Store,4
2026/09/05,https://melee.gg/Tournament/View/423400,Ludus Game Store,32
2026/09/05,https://melee.gg/Tournament/View/427691,Ludotrotter Tours,4
2026/09/05,https://melee.gg/Tournament/View/407035,SonGeniales,6
2026/09/05,https://melee.gg/Tournament/View/427636,God of Games Hof,9
2026/09/05,https://melee.gg/Tournament/View/426957,Ludotrotter Tours,15
2026/09/05,https://melee.gg/Tournament/View/415972,DC-TradingOG,8
2026/09/04,https://melee.gg/Tournament/View/427720,AZ Card & Games,8
2026/09/04,https://melee.gg/Tournament/View/427888,Command Center,12
2026/09/04,https://melee.gg/Tournament/View/421029,Buymeeples,4
2026/09/04,https://melee.gg/Tournament/View/420419,Troll2Jeux,17
2026/09/04,https://melee.gg/Tournament/View/409451,La-Games,4
2026/09/04,https://melee.gg/Tournament/View/420661,Estalia Córdoba,8
2026/09/04,https://melee.gg/Tournament/View/427758,SWU Chillán,9
2026/09/04,https://melee.gg/Tournament/View/427638,Le Coin-Coin Ludique,7
